model,mode,exact_match_accuracy,micro_precision,micro_recall,micro_f1,macro_f1,toxic_precision,toxic_recall,toxic_f1,severe_toxic_precision,severe_toxic_recall,severe_toxic_f1,obscene_precision,obscene_recall,obscene_f1,threat_precision,threat_recall,threat_f1,insult_precision,insult_recall,insult_f1,identity_hate_precision,identity_hate_recall,identity_hate_f1
gpt-4.1,few_shot_10,0.6,0.6736111111111112,0.8660714285714286,0.7578125,0.6422829183698749,0.9318181818181818,0.8541666666666666,0.8913043478260869,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.7777777777777778,0.84,0.8076923076923077,0.14285714285714285,0.5,0.2222222222222222,0.5365853658536586,0.9166666666666666,0.676923076923077,0.5384615384615384,1.0,0.7
gpt-4.1,few_shot_10_synth,0.59,0.6666666666666666,0.8928571428571429,0.7633587786259542,0.6435561330037113,0.8979591836734694,0.9166666666666666,0.9072164948453608,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.7857142857142857,0.88,0.8301886792452831,0.14285714285714285,0.5,0.2222222222222222,0.5121951219512195,0.875,0.6461538461538462,0.5384615384615384,1.0,0.7
gpt-4.1,few_shot_5,0.54,0.6616541353383458,0.7857142857142857,0.7183673469387755,0.5845979417407988,0.9285714285714286,0.8125,0.8666666666666667,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.75,0.72,0.7346938775510204,0.2,0.5,0.2857142857142857,0.5121951219512195,0.875,0.6461538461538462,0.5,1.0,0.6666666666666666
gpt-4.1,few_shot_5_synth,0.59,0.6838235294117647,0.8303571428571429,0.75,0.6178525521362299,0.9318181818181818,0.8541666666666666,0.8913043478260869,0.3333333333333333,0.5,0.4,0.7777777777777778,0.84,0.8076923076923077,0.2,0.5,0.2857142857142857,0.5405405405405406,0.8333333333333334,0.6557377049180327,0.5,1.0,0.6666666666666666
gpt-4.1,zero_shot,0.5,0.6170212765957447,0.5178571428571429,0.5631067961165048,0.5280563998649105,1.0,0.16666666666666666,0.2857142857142857,0.5,0.5,0.5,0.8181818181818182,0.72,0.7659574468085106,0.16666666666666666,0.5,0.25,0.5384615384615384,0.875,0.6666666666666666,0.5384615384615384,1.0,0.7
gpt-5-mini,few_shot_10,0.5,0.5714285714285714,0.03571428571428571,0.06722689075630252,0.03195352214960058,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.041666666666666664,0.07407407407407407,0.0,0.0,0.0
gpt-5-mini,few_shot_10_synth,0.53,0.9,0.08035714285714286,0.14754098360655737,0.13817663817663817,1.0,0.08333333333333333,0.15384615384615385,0.0,0.0,0.0,1.0,0.04,0.07692307692307693,0.0,0.0,0.0,1.0,0.08333333333333333,0.15384615384615385,1.0,0.2857142857142857,0.4444444444444444
gpt-5-mini,few_shot_5,0.53,0.7647058823529411,0.11607142857142858,0.20155038759689922,0.11481481481481481,1.0,0.125,0.2222222222222222,0.0,0.0,0.0,0.8,0.16,0.26666666666666666,0.0,0.0,0.0,0.5,0.125,0.2,0.0,0.0,0.0
gpt-5-mini,few_shot_5_synth,0.51,0.6428571428571429,0.08035714285714286,0.14285714285714285,0.10786504895700298,0.8333333333333334,0.10416666666666667,0.18518518518518517,0.0,0.0,0.0,0.5,0.04,0.07407407407407407,0.0,0.0,0.0,0.4,0.08333333333333333,0.13793103448275862,1.0,0.14285714285714285,0.25
gpt-5-mini,zero_shot,0.5,0.5,0.017857142857142856,0.034482758620689655,0.013333333333333334,1.0,0.041666666666666664,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
